Date_,Close_005930.KS,Close_AAPL,Close_GOOGL,High_005930.KS,High_AAPL,High_GOOGL,Low_005930.KS,Low_AAPL,Low_GOOGL,Open_005930.KS,Open_AAPL,Open_GOOGL,Volume_005930.KS,Volume_AAPL,Volume_GOOGL
2024-11-25,56293.67578125,231.6048126220703,166.68743896484375,56293.67578125,231.98275293866183,167.6618232619843,55126.96747490285,228.49182822914253,164.65915820880082,55807.547320272024,230.20248468460477,165.13639806236714,36237325.0,90152800.0,33135300.0
2024-11-26,56682.57421875,233.78292846679688,168.14901733398438,57265.92832734777,234.2901673751303,168.84501052303654,55904.76874061964,232.0623317186483,166.61786569467208,56293.671479684825,232.0623317186483,166.66758166120195,23209405.0,45986200.0,20486700.0
2024-11-27,54738.0625,233.6536102294922,168.2583770751953,56196.447824156305,234.40949083683986,168.50694172289835,54446.38543516873,232.53970008294309,167.0553326761747,56099.222135879216,233.19611792325418,168.02970184723952,21808387.0,33498400.0,19266500.0
2024-11-28,53960.2578125,,,54835.28902027027,,,53668.58074324324,,,54446.386261261265,,,20001134.0,,
2024-11-29,52696.32421875,236.04058837890625,167.97998046875,53765.80681359548,236.51797629056327,168.45722032902532,52307.421456988006,232.698842645531,166.20026432388437,53571.35543271449,233.5342752849028,167.53256715154302,24513531.0,28481400.0,14257200.0
2024-12-02,52112.97265625,238.28829956054688,170.50540161132812,52890.77821828358,239.4817769036961,171.0920105058346,51626.84417997901,235.8715090788613,167.60216850996696,52793.552523029386,235.9809120539101,167.80101718271035,22044867.0,48137100.0,23789100.0
2024-12-03,52112.97265625,241.33168029785156,170.35626220703125,52890.77821828358,241.441083276618,171.68856506902026,51626.84417997901,237.60205398884364,169.86908521024029,51626.84417997901,238.50711361537608,170.50541009739786,23374603.0,38861000.0,22248700.0
2024-12-04,51626.83984375,241.68971252441406,173.3688507080078,51918.51690501413,242.78374225546824,173.90575879671132,50557.357285781545,239.9392801306149,170.07785748297476,50557.357285781545,241.55047375645148,170.16733710736509,29004766.0,44383900.0,31615100.0
2024-12-05,52210.19921875,241.7195587158203,171.64881896972656,52890.77909683427,243.21140922639395,175.04918185581036,51724.0707344041,240.81451427308068,171.3406012044101,51724.0707344041,242.6644095132275,174.35320380974355,23588277.0,40033900.0,21356200.0
2024-12-06,52599.1015625,241.52064514160156,173.7069549560547,52890.77865064695,243.3009285590703,174.07482584315568,51237.94181781424,240.76477968960373,170.87331141634223,52404.650170402034,241.5902721155965,171.04233358531255,22861874.0,36870600.0,21462400.0
2024-12-09,51918.51953125,245.40940856933594,174.56295776367188,53085.227835323036,245.89675186527563,175.44886145410123,51724.06814723783,240.43657354260168,172.8508718378986,52015.74522325608,240.516140724136,173.15945800345577,26227680.0,44649200.0,25389600.0
2024-12-10,52501.875,246.4238739013672,184.31787109375,52988.00347222222,246.861485816723,185.502397306232,52210.197916666664,244.0070681600661,180.21683563214248,52988.00347222222,245.54865007065558,182.00855531536865,20783970.0,36914800.0,54813000.0
2024-12-11,52501.875,245.1508026123047,194.50079345703125,52696.32638888889,249.43738355757404,194.7098337526011,51918.520833333336,244.92204129682997,183.99935507018319,52112.97222222222,246.61281718111218,184.45722971599074,14565947.0,45205800.0,67894100.0
2024-12-12,54349.1640625,246.61282348632812,191.07662963867188,54932.5182384839,247.38858448031883,194.28179760891206,52404.65014255367,244.3451969163318,190.8277801088796,52501.87583855099,245.54862958315107,194.10263323797517,33476698.0,32777500.0,34817500.0
2024-12-13,54543.61328125,246.7819061279297,188.94647216796875,54738.06466549688,247.9355922748061,191.84306905787375,53960.25912850936,244.90217516923994,188.7672926142497,54251.93620487968,246.47359279661413,190.13098313311997,15908823.0,33155300.0,25143500.0
